post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47704804,How NASA built Artemis II’s fault-tolerant computer,technology,214,75,speckx,2026-04-10 05:42:08,0.3488372093023256,True
47713113,"The Raft Consensus Algorithm Explained Through ""Mean Girls""",technology,34,3,vermilingua,2026-04-10 05:42:08,0.08571428571428572,False
47709158,Charcuterie – Visual similarity Unicode explorer,technology,177,33,rickcarlino,2026-04-10 05:42:09,0.1853932584269663,True
47706141,Research-Driven Agents: When an agent reads before it codes,technology,160,48,hopechong,2026-04-10 05:42:09,0.2981366459627329,True
47674950,An AI robot in my home,technology,25,9,kukanani,2026-04-10 05:42:09,0.34615384615384615,False
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",technology,15,0,russellharper,2026-04-10 05:42:09,0.0,False
47702541,A WebGPU implementation of Augmented Vertex Block Descent,technology,136,16,juretriglav,2026-04-10 05:42:09,0.11678832116788321,False
47695666,Show HN: Druids – Build your own software factory,technology,43,7,etherio,2026-04-10 05:42:09,0.1590909090909091,False
47710782,The Training Example Lie Bracket,technology,26,13,pb1729,2026-04-10 05:42:10,0.48148148148148145,False
47702196,"Show HN: CSS Studio. Design by hand, code by agent",technology,145,94,SirHound,2026-04-10 05:42:10,0.6438356164383562,False
47712771,"Google's AI Overviews spew false answers per hour, bombshell study reveals",technology,18,2,1vuio0pswjnm7,2026-04-10 05:42:10,0.10526315789473684,False
47707632,"Instant 1.0, a backend for AI-coded apps",technology,112,67,stopachka,2026-04-10 05:42:10,0.5929203539823009,False
47687273,Git commands I run before reading any code,technology,2230,472,grepsedawk,2026-04-10 05:42:11,0.21156432093231733,True
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,319,211,kisamoto,2026-04-10 05:42:11,0.659375,True
47712755,"Detox may erase 10 years of social media brain damage, researchers say",technology,18,2,1vuio0pswjnm7,2026-04-10 05:42:11,0.10526315789473684,False
47708817,Maine is about to become the first state to ban major new data centers,technology,268,383,rmason,2026-04-10 05:42:11,1.4237918215613383,True
47708411,Bitmap fonts make computers feel like computers again,technology,95,73,speckx,2026-04-10 05:42:11,0.7604166666666666,False
47701233,Claude mixes up who said what,technology,418,328,sixhobbits,2026-04-10 05:42:11,0.7828162291169452,True
47713732,First man convicted under Take It Down Act kept making AI nudes after arrest,technology,5,0,tzs,2026-04-10 05:42:12,0.0,False
47660434,C# in Unity 2026: Writing more modern code,technology,71,95,hacker_13,2026-04-10 05:42:12,1.3194444444444444,False
47711960,Vibe-Coded Ext4 for OpenBSD,technology,7,4,signa11,2026-04-10 05:42:12,0.5,False
47710919,How the Trivy supply chain attack harvested credentials from secrets managers,technology,16,15,Rial_Labs,2026-04-10 05:42:12,0.8823529411764706,False
